ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche;Schadensfaktor
Hausen;Landkreis Rhön-Grabfeld;5,05009E+15;1,0263E+15;;0;very low;C;1694;0,4749;102757,35;216393,04;127,74;0,04
Nordheim v.d.Rhön;Landkreis Rhön-Grabfeld;5,05097E+15;1,02082E+15;;0;very low;A+;1694;0,4106;41735,02;101640;60;0,04
Sondheim v.d.Rhön;Landkreis Rhön-Grabfeld;5,04576E+16;1,01686E+16;;0;very low;H;1694;0,0827;70833,28;856437,4;505,57;0,04
Willmars;Landkreis Rhön-Grabfeld;5,04847E+15;1,00395E+16;;0;very low;H;1694;0,7129;251913,04;353370,69;208,6;0,04
Bad Neustadt an der Saale;Landkreis Rhön-Grabfeld;5,03244E+15;1,02594E+16;;0;very low;C;1694;0,7019;198241,45;282430,76;166,72;0,04
Bad Neustadt an der Saale;Landkreis Rhön-Grabfeld;5,0293E+15;1,02516E+16;;0;very low;E;1694;0,1074;87539,4;814862,06;481,03;0,04
Bad Neustadt an der Saale;Landkreis Rhön-Grabfeld;5,03186E+16;1,02297E+15;;0;very low;H;1694;0,6642;75035,81;112972,59;66,69;0,04
Bad Neustadt an der Saale;Landkreis Rhön-Grabfeld;5,03051E+15;1,02483E+16;;0;very low;D;1694;0,3257;124769,12;383092,09;226,15;0,04
Bad Neustadt an der Saale;Landkreis Rhön-Grabfeld;5,03364E+16;1,01886E+16;;0;very low;C;1694;0,4534;93851,36;206987,08;122,19;0,04
Salz;Landkreis Rhön-Grabfeld;5,03386E+15;1,01853E+15;;0;very low;G;1694;0,1896;29120,04;153556,76;90,65;0,04
Salz;Landkreis Rhön-Grabfeld;5,03024E+15;1,0232E+16;;0;very low;E;1694;0,3118;87016,59;279035,37;164,72;0,04
Salz;Landkreis Rhön-Grabfeld;5,03037E+15;1,02512E+14;;0;very low;F;1694;0,6713;183991,02;274087,83;161,8;0,04
Salz;Landkreis Rhön-Grabfeld;5,03067E+15;1,02236E+16;;0;very low;G;1694;0,0757;64631,55;853939,74;504,1;0,04
Salz;Landkreis Rhön-Grabfeld;5,03613E+15;1,01753E+16;;0;very low;F;1694;0,3769;38312,16;101640;60;0,04
Bastheim;Landkreis Rhön-Grabfeld;5,04014E+15;1,01537E+15;;0;very low;C;1694;0,6816;172086,76;252464,62;149,03;0,04
Bischofsheim i.d.Rhön;Landkreis Rhön-Grabfeld;5,04049E+16;9,97182E+14;;0;very low;G;1694;0,3867;116172,88;300421,97;177,34;0,04
Mellrichstadt;Landkreis Rhön-Grabfeld;5,04069E+16;1,03842E+16;;0;very low;G;1694;0,2709;108826,17;401756,37;237,16;0,04
Mellrichstadt;Landkreis Rhön-Grabfeld;5,0435E+15;1,03124E+15;;0;very low;G;1694;0,6671;99240,02;148768,59;87,82;0,04
Heustreu;Landkreis Rhön-Grabfeld;5,03183E+15;1,01542E+16;;0;very low;A+;1694;0,7279;117094,7;160859,37;94,96;0,04
Heustreu;Landkreis Rhön-Grabfeld;5,0313E+15;1,01737E+16;;0;very low;E;1694;0,7011;113405,28;161762,25;95,49;0,04
Heustreu;Landkreis Rhön-Grabfeld;5,03107E+16;1,009E+16;;0;very low;D;1694;0,619;138843,11;224284,19;132,4;0,04
Heustreu;Landkreis Rhön-Grabfeld;5,0341E+15;1,00927E+16;;0;very low;B;1694;0,6001;147711,87;246139,06;145,3;0,04
Hohenroth;Landkreis Rhön-Grabfeld;5,03707E+15;1,0197E+15;;0;very low;D;1694;0,4031;158717,37;393700,78;232,41;0,04
Hohenroth;Landkreis Rhön-Grabfeld;5,03193E+15;1,00747E+15;;0;very low;F;1694;0,4565;81071,09;177595,76;104,84;0,04
Hohenroth;Landkreis Rhön-Grabfeld;5,03667E+15;1,02283E+16;;0;very low;G;1694;0,7292;74118,14;101640;60;0,04
Hohenroth;Landkreis Rhön-Grabfeld;5,03196E+15;1,02701E+16;;0;very low;F;1694;0,2107;76730,6;364238,37;215,02;0,04
Hollstadt;Landkreis Rhön-Grabfeld;5,03388E+15;1,00576E+15;;0;very low;F;1694;0,08;165843,48;2072692,97;1223,55;0,04
Hollstadt;Landkreis Rhön-Grabfeld;5,03314E+15;1,01091E+16;;0;very low;B;1694;0,7028;135043,81;192154,35;113,43;0,04
Hollstadt;Landkreis Rhön-Grabfeld;5,03645E+16;1,02158E+15;;0;very low;C;1694;0,2905;68689,45;236489,54;139,6;0,04
Hollstadt;Landkreis Rhön-Grabfeld;5,02943E+15;1,01743E+15;;0;very low;A;1694;0,6884;279733,09;406379,9;239,89;0,04
Niederlauer;Landkreis Rhön-Grabfeld;5,03655E+15;1,02782E+16;;0;very low;C;1694;0,7005;199099,62;284207,71;167,77;0,04
Niederlauer;Landkreis Rhön-Grabfeld;5,0363E+15;1,02992E+16;;0;very low;D;1694;0,7207;122591,06;170102,21;100,41;0,04
Niederlauer;Landkreis Rhön-Grabfeld;5,0324E+15;1,0349E+16;;0;very low;D;1694;0,6804;103233,78;151719,13;89,56;0,04
Niederlauer;Landkreis Rhön-Grabfeld;5,03282E+15;1,017E+16;;0;very low;C;1694;0,411;67058,26;163145,32;96,31;0,04
Rödelmaier;Landkreis Rhön-Grabfeld;5,03041E+15;1,01132E+16;;0;very low;C;1694;0,3303;108410;328261,7;193,78;0,04
Rödelmaier;Landkreis Rhön-Grabfeld;5,03368E+15;1,01318E+15;;0;very low;E;1694;0,1538;235505,23;1531639,49;904,16;0,04
Rödelmaier;Landkreis Rhön-Grabfeld;5,02992E+15;1,00991E+15;;0;very low;E;1694;0,4687;131770,07;281128,99;165,96;0,04
Rödelmaier;Landkreis Rhön-Grabfeld;5,03376E+16;1,01706E+16;;0;very low;D;1694;0,5117;95411,86;186457,96;110,07;0,04
Strahlungen;Landkreis Rhön-Grabfeld;5,03772E+15;1,03654E+16;;0;very low;E;1694;0,5746;83977,34;146153,34;86,28;0,04
Strahlungen;Landkreis Rhön-Grabfeld;5,02914E+15;1,01872E+16;;0;very low;G;1694;0,6849;69617,18;101640;60;0,04
Strahlungen;Landkreis Rhön-Grabfeld;5,0332E+15;1,02929E+16;;0;very low;D;1694;0,634;64441,76;101640;60;0,04
Strahlungen;Landkreis Rhön-Grabfeld;5,03185E+15;1,02994E+16;;0;very low;E;1694;0,4925;131546,75;267112;157,68;0,04
Unsleben;Landkreis Rhön-Grabfeld;5,03422E+15;1,03036E+16;;0;very low;H;1694;0,362;132157,89;365059,04;215,5;0,04
Unsleben;Landkreis Rhön-Grabfeld;5,03426E+15;1,01582E+16;;0;very low;F;1694;0,5491;155175,34;282619;166,84;0,04
Unsleben;Landkreis Rhön-Grabfeld;5,03567E+15;1,02354E+16;;0;very low;F;1694;0,3752;103786,09;276641,97;163,31;0,04
Unsleben;Landkreis Rhön-Grabfeld;5,03672E+15;1,03079E+16;;0;very low;E;1694;0,2676;130365,6;487232,66;287,62;0,04
Wollbach;Landkreis Rhön-Grabfeld;5,03423E+15;1,00821E+15;;0;very low;G;1694;0,2721;112434,74;413139,72;243,88;0,04
Wollbach;Landkreis Rhön-Grabfeld;5,03093E+15;1,01623E+16;;0;very low;C;1694;0,4818;206482,07;428526,94;252,97;0,04
Wollbach;Landkreis Rhön-Grabfeld;5,0272E+15;1,02453E+16;;0;very low;G;1694;0,4828;137110,13;284007,85;167,66;0,04
Wollbach;Landkreis Rhön-Grabfeld;5,03693E+14;1,02643E+15;;0;very low;C;1694;0,1251;191563,45;1531630,27;904,15;0,04
Wülfershausen an der Saale;Landkreis Rhön-Grabfeld;5,03029E+16;1,01608E+16;;0;very low;F;1694;0,148;130248,68;879808,44;519,37;0,04
Wülfershausen an der Saale;Landkreis Rhön-Grabfeld;5,02919E+15;1,01882E+16;;0;very low;F;1694;0,5464;103164,2;188798,52;111,45;0,04
Wülfershausen an der Saale;Landkreis Rhön-Grabfeld;5,03161E+15;1,0172E+15;;0;very low;C;1694;0,5928;60251,31;101640;60;0,04
Wülfershausen an der Saale;Landkreis Rhön-Grabfeld;5,03285E+15;1,01448E+16;;0;very low;E;1694;0,5001;65288,29;130559,38;77,07;0,04
Oberelsbach;Landkreis Rhön-Grabfeld;5,04418E+15;1,00453E+16;;0;very low;B;1694;0,3978;187508,42;471316,41;278,23;0,04
Ostheim v.d.Rhön;Landkreis Rhön-Grabfeld;5,04356E+15;1,02179E+16;;0;very low;C;1694;0,2182;166072,4;761034,82;449,25;0,04
Aubstadt;Landkreis Rhön-Grabfeld;5,0301E+15;1,05601E+15;;0;very low;D;1694;0,5104;140460,58;275174,54;162,44;0,04
Aubstadt;Landkreis Rhön-Grabfeld;5,03471E+15;1,03801E+16;;0;very low;E;1694;0,0976;72958,15;747726,82;441,4;0,04
Großbardorf;Landkreis Rhön-Grabfeld;5,02556E+15;1,03863E+16;;0;very low;G;1694;0,7232;103017,45;142455,88;84,09;0,04
Großbardorf;Landkreis Rhön-Grabfeld;5,03614E+15;1,04436E+16;;0;very low;H;1694;0,0846;93025,07;1098965,82;648,74;0,04
Großeibstadt;Landkreis Rhön-Grabfeld;5,03562E+15;1,05252E+15;;0;very low;E;1694;0,5884;167502,95;284673,38;168,05;0,04
Großeibstadt;Landkreis Rhön-Grabfeld;5,03494E+15;1,03782E+16;;0;very low;D;1694;0,3882;88386,26;227682,66;134,41;0,04
Herbstadt;Landkreis Rhön-Grabfeld;5,03787E+15;1,04528E+16;;0;very low;E;1694;0,1958;135186,93;690417,28;407,57;0,04
Herbstadt;Landkreis Rhön-Grabfeld;5,03219E+15;1,05805E+16;;0;very low;F;1694;0,4147;46243,33;111523,38;65,83;0,04
Höchheim;Landkreis Rhön-Grabfeld;5,0346E+15;1,05097E+15;;0;very low;D;1694;0,3586;133931,43;373500,67;220,48;0,04
Höchheim;Landkreis Rhön-Grabfeld;5,02471E+15;1,03926E+15;;0;very low;H;1694;0,3101;201720,25;650433,34;383,96;0,04
Saal a.d.Saale;Landkreis Rhön-Grabfeld;5,02244E+15;1,04152E+16;;0;very low;F;1694;0,4216;104958,26;248950,96;146,96;0,04
Saal a.d.Saale;Landkreis Rhön-Grabfeld;5,03288E+15;1,0492E+14;;0;very low;G;1694;0,2356;126288,66;535955,53;316,38;0,04
Sulzfeld;Landkreis Rhön-Grabfeld;5,03052E+15;1,05734E+16;;0;very low;G;1694;0,1422;64413,37;452869,22;267,34;0,04
Sulzfeld;Landkreis Rhön-Grabfeld;5,03918E+15;1,04453E+15;;0;very low;H;1694;0,5171;89432,39;172957,68;102,1;0,04
Trappstadt;Landkreis Rhön-Grabfeld;5,02648E+15;1,04113E+16;;0;very low;F;1694;0,7098;119898,34;168906,95;99,71;0,04
Trappstadt;Landkreis Rhön-Grabfeld;5,02726E+15;1,03649E+16;;0;very low;F;1694;0,0834;120560,42;1444813,74;852,9;0,04
Sandberg;Landkreis Rhön-Grabfeld;5,03335E+15;1,00384E+16;;0;very low;F;1694;0,5866;86726,54;147848,86;87,28;0,04
Hendungen;Landkreis Rhön-Grabfeld;5,04661E+15;1,02914E+16;;0;very low;F;1694;0,4474;186221,98;416235;245,71;0,04
Oberstreu;Landkreis Rhön-Grabfeld;5,03852E+15;1,03321E+16;;0;very low;G;1694;0,5122;226029,32;441294,89;260,5;0,04
Stockheim;Landkreis Rhön-Grabfeld;5,0404E+15;1,02914E+15;;0;very low;C;1694;0,6284;188814,54;300446,55;177,36;0,04
Fladungen;Landkreis Rhön-Grabfeld;5,05335E+16;1,02107E+16;;0;very low;D;1694;0,2712;45121,6;166352,09;98,2;0,04
Bad Königshofen im Grabfeld;Landkreis Rhön-Grabfeld;5,02588E+15;1,0463E+16;;0;very low;A+;1694;0,1514;150903,94;996411,05;588,2;0,04
Bad Königshofen im Grabfeld;Landkreis Rhön-Grabfeld;5,03036E+15;1,04425E+16;;0;very low;C;1694;0,3612;74252,78;205599,86;121,37;0,04
Theres;Landkreis Haßberge;5,00407E+16;1,04404E+16;;0;very low;G;2045;0,1017;227618,87;2238425,5;1094,58;0,04
Hofheim in Unterfranken;Landkreis Haßberge;5,01331E+15;1,05113E+16;;0;very low;E;2045;0,1711;162140,5;947906,96;463,52;0,04
Haßfurt;Landkreis Haßberge;5,00415E+14;1,04873E+16;;0;very low;C;2045;0,584;72469,01;124095,09;60,68;0,04
Haßfurt;Landkreis Haßberge;5,00699E+13;1,04536E+15;;0;very low;H;2045;0,5183;152072,39;293385,34;143,46;0,04
Haßfurt;Landkreis Haßberge;5,00691E+15;1,04695E+15;;0;very low;G;2045;0,2448;88327,75;360819,73;176,44;0,04
Haßfurt;Landkreis Haßberge;5,00577E+14;1,04851E+16;;0;very low;G;2045;0,5353;295019,03;551118,39;269,5;0,04
Sand a. Main;Landkreis Haßberge;4,99705E+15;1,0583E+16;;0;very low;E;2045;0,5296;95765,64;180828,63;88,42;0,04
Birkenfeld;Landkreis Main-Spessart;4,98623E+15;9,75292E+15;;0;very low;F;2337;0,3697;51846,01;140220;60;0,04
Collenberg;Landkreis Miltenberg;4,97742E+15;9,36997E+15;;0;very low;C;2785;0,2983;131413,08;440532,33;158,18;0,04
Eichenbühl;Landkreis Miltenberg;4,97479E+15;9,32588E+15;;0;very low;D;2785;0,5129;151114,06;294640,07;105,8;0,04
Bischbrunn;Landkreis Main-Spessart;4,99165E+15;9,44032E+15;;0;very low;G;2337;0,5925;144870,36;244521,45;104,63;0,04
Marktheidenfeld;Landkreis Main-Spessart;4,9835E+15;9,57959E+14;;0;very low;E;2337;0,5596;78471,42;140220;60;0,04
Marktheidenfeld;Landkreis Main-Spessart;4,98306E+14;9,6032E+13;;0;very low;F;2337;0,5898;83318,15;141266,33;60,45;0,04
Marktheidenfeld;Landkreis Main-Spessart;4,98323E+15;9,58926E+15;;0;very low;E;2337;0,5266;119705,33;227334,1;97,28;0,04
Eußenheim;Landkreis Main-Spessart;4,99847E+15;9,82014E+15;;0;very low;B;2337;0,1123;372544,28;3317919,22;1419,73;0,04
Esselbach;Landkreis Main-Spessart;4,98657E+15;9,52108E+15;;0;very low;E;2337;0,6229;100460,4;161269,14;69,01;0,04
Triefenstein;Landkreis Main-Spessart;4,97755E+16;9,55214E+15;;0;very low;H;2337;0,5772;110667,19;191746,76;82,05;0,04
Nordheim a.Main;Landkreis Kitzingen;4,98489E+15;1,01978E+16;;0;very low;G;2868;0,4938;84979,03;172080;60;0,04
Sommerach;Landkreis Kitzingen;4,98427E+15;1,01878E+16;;0;very low;F;2868;0,1293;46893,58;362792,44;126,5;0,04
Markt Einersheim;Landkreis Kitzingen;4,96752E+15;1,02958E+16;;0;very low;D;2868;0,1683;125860,88;748012,52;260,81;0,04
Rödelsee;Landkreis Kitzingen;4,96808E+15;1,02431E+16;;0;very low;D;2868;0,2219;175491,31;790806,91;275,73;0,04
Willanzheim;Landkreis Kitzingen;4,96892E+15;1,02221E+16;;0;very low;F;2868;0,49;156024,58;318414,74;111,02;0,04
Mainbernheim;Landkreis Kitzingen;4,97071E+15;1,0188E+14;;0;very low;E;2868;0,5005;271500,14;542489,55;189,15;0,04
Albertshofen;Landkreis Kitzingen;4,97657E+13;1,01342E+14;;0;very low;E;2868;0,3681;63347,35;172080;60;0,04
Albertshofen;Landkreis Kitzingen;4,97451E+15;1,02319E+16;;0;very low;G;2868;0,5118;381788,68;745972,51;260,1;0,04
Buchbrunn;Landkreis Kitzingen;4,97769E+15;1,01182E+16;;0;very low;D;2868;0,6889;118552,68;172080;60;0,04
Buchbrunn;Landkreis Kitzingen;4,97457E+15;1,02649E+15;;0;very low;C;2868;0,4065;82692,48;203433,39;70,93;0,04
Großlangheim;Landkreis Kitzingen;4,97752E+15;1,00933E+15;;0;very low;D;2868;0,474;130435,57;275182,59;95,95;0,04
Großlangheim;Landkreis Kitzingen;4,97618E+16;1,01673E+15;;0;very low;D;2868;0,5563;113651,75;204281,81;71,23;0,04
Mainstockheim;Landkreis Kitzingen;4,97795E+15;1,00921E+16;;0;very low;D;2868;0,6255;107640,11;172080;60;0,04
Mainstockheim;Landkreis Kitzingen;4,97534E+16;1,02656E+16;;0;very low;A;2868;0,2995;68746,18;229502,6;80,02;0,04
Sulzfeld am Main;Landkreis Kitzingen;4,97474E+15;1,02699E+16;;0;very low;A;2868;0,1352;96891,23;716451,74;249,81;0,04
Sulzfeld am Main;Landkreis Kitzingen;4,97723E+15;1,02316E+16;;0;very low;H;2868;0,6447;110944,66;172080;60;0,04
Schweinfurt;;5,00429E+15;1,02202E+16;;0;very low;G;3111;0,3685;199960,42;542609,29;174,42;0,04
Schweinfurt;;5,00406E+15;1,02202E+16;;0;very low;B;3111;0,1141;159450,44;1397479,78;449,21;0,04
Schweinfurt;;5,00474E+15;1,02366E+14;;0;very low;F;3111;0,515;96137,38;186660;60;0,04
Schweinfurt;;5,00475E+15;1,02195E+16;;0;very low;H;3111;0,4769;146068,44;306284,44;98,45;0,04
Kolitzheim;Landkreis Schweinfurt;4,99176E+15;1,02307E+16;;0;very low;D;2375;0,7194;102516,84;142500;60;0,04
Röthlein;Landkreis Schweinfurt;4,99549E+15;1,01965E+15;;0;very low;D;2375;0,1042;76000,05;729225,8;307,04;0,04
Stadtlauringen;Landkreis Schweinfurt;5,02042E+16;1,03733E+16;;0;very low;A+;2375;0,2655;146233,29;550885,56;231,95;0,04
Üchtelhausen;Landkreis Schweinfurt;5,01409E+15;1,03229E+16;;0;very low;D;2375;0,5842;83249,41;142500;60;0,04
Euerbach;Landkreis Schweinfurt;5,00796E+15;1,00766E+16;;0;very low;F;2375;0,3024;56203,02;185839,98;78,25;0,04
Geldersheim;Landkreis Schweinfurt;5,00312E+16;1,01382E+15;;0;very low;D;2375;0,6386;157853,15;247189,49;104,08;0,04
Schweinfurt;;5,00297E+15;1,02199E+16;;0;very low;G;3111;0,2032;58934,34;289979,13;93,21;0,04
Schweinfurt;;5,00278E+15;1,02071E+16;;0;very low;G;3111;0,5512;102891,8;186660;60;0,04
Schweinfurt;;5,00279E+15;1,02342E+16;;0;very low;E;3111;0,5177;96635,92;186660;60;0,04
Schweinfurt;;5,00608E+15;1,02047E+16;;0;very low;B;3111;0,5285;316130,97;598184,17;192,28;0,04
Dittelbrunn;Landkreis Schweinfurt;5,01472E+16;1,02072E+16;;0;very low;H;2375;0,0706;68786,63;974689,7;410,4;0,04
Dittelbrunn;Landkreis Schweinfurt;5,01349E+15;1,02173E+16;;0;very low;C;2375;0,0892;173591,6;1946682,64;819,66;0,04
Schwebheim;Landkreis Schweinfurt;4,99809E+15;1,02626E+16;;0;very low;A;2375;0,1593;184798,34;1159821,39;488,35;0,04
Bergrheinfeld;Landkreis Schweinfurt;4,99736E+15;1,01902E+16;;0;very low;D;2375;0,4348;99799,26;229554,71;96,65;0,04
Wasserlosen;Landkreis Schweinfurt;5,00441E+16;1,0007E+15;;0;very low;E;2375;0,4413;70413,29;159568,5;67,19;0,04
Schwanfeld;Landkreis Schweinfurt;4,99333E+16;1,01448E+16;;0;very low;H;2375;0,4848;104564,51;215702,76;90,82;0,04
Poppenhausen;Landkreis Schweinfurt;5,01004E+16;1,00837E+15;;0;very low;D;2375;0,4258;129160,86;303344,21;127,72;0,04
Waigolshausen;Landkreis Schweinfurt;4,99459E+16;1,01411E+16;;0;very low;H;2375;0,5905;84142,04;142500;60;0,04
Grafenrheinfeld;Landkreis Schweinfurt;4,99967E+15;1,02067E+16;;0;very low;C;2375;0,535;76231,18;142500;60;0,04
Werneck;Landkreis Schweinfurt;4,9995E+15;1,01384E+16;;0;very low;H;2375;0,5325;165956,5;311642,49;131,22;0,04
Werneck;Landkreis Schweinfurt;5,00144E+14;1,01339E+16;;0;very low;G;2375;0,3569;80486,14;225499,13;94,95;0,04
Werneck;Landkreis Schweinfurt;4,9936E+16;1,01057E+16;;0;very low;F;2375;0,5373;76560,71;142500;60;0,04
Niederwerrn;Landkreis Schweinfurt;5,00778E+14;1,0154E+16;;0;very low;E;2375;0,3628;204513,09;563776,71;237,38;0,04
Niederwerrn;Landkreis Schweinfurt;5,00715E+15;1,01863E+16;;0;very low;D;2375;0,0937;163800;1747318,44;735,71;0,04
Sennfeld;Landkreis Schweinfurt;5,00234E+15;1,02444E+16;;0;very low;E;2375;0,6927;98703,38;142500;60;0,04
Maßbach;Landkreis Bad Kissingen;5,02335E+15;1,02376E+16;;0;very low;D;2099;0,505;78371,21;155199,31;73,94;0,04
Maßbach;Landkreis Bad Kissingen;5,01802E+15;1,03178E+15;;0;very low;B;2099;0,48;60455,35;125940;60;0,04
Thundorf i.UFr.;Landkreis Bad Kissingen;5,01632E+15;1,02836E+15;;0;very low;G;2099;0,3992;141822,23;355285,68;169,26;0,04
Thundorf i.UFr.;Landkreis Bad Kissingen;5,02091E+15;1,02835E+16;;0;very low;C;2099;0,2832;51763,33;182779;87,08;0,04
Elfershausen;Landkreis Bad Kissingen;5,01478E+16;9,95778E+15;;0;very low;F;2099;0,5656;120138,03;212392,51;101,19;0,04
Wildflecken;Landkreis Bad Kissingen;5,0366E+15;9,87058E+15;;0;very low;D;2099;0,1438;32976,66;229317,27;109,25;0,04
Münnerstadt;Landkreis Bad Kissingen;5,02353E+15;1,02755E+15;;0;very low;A;2099;0,4431;115274,53;260161,91;123,95;0,04
Münnerstadt;Landkreis Bad Kissingen;5,02309E+15;1,01935E+15;;0;very low;D;2099;0,6771;154128,02;227627,4;108,45;0,04
Wartmannsroth;Landkreis Bad Kissingen;5,01909E+14;9,77066E+15;;0;very low;E;2099;0,482;101732,3;211063,99;100,55;0,04
Bad Bocklet;Landkreis Bad Kissingen;5,02969E+15;1,0074E+16;;0;very low;E;2099;0,239;84700,18;354353,29;168,82;0,04
Oberthulba;Landkreis Bad Kissingen;5,02087E+15;9,94992E+15;;0;very low;E;2099;0,151;181720,08;1203637,89;573,43;0,04
Bad Brückenau;Landkreis Bad Kissingen;5,03208E+14;9,77593E+15;;0;very low;H;2099;0,4048;155197,69;383428,12;182,67;0,04
Bad Brückenau;Landkreis Bad Kissingen;5,03151E+15;9,78499E+14;;0;very low;G;2099;0,6772;106038,81;156576,5;74,6;0,04
Bad Kissingen;Landkreis Bad Kissingen;5,01719E+16;1,00635E+16;;0;very low;D;2099;0,5551;171800,56;309490,98;147,45;0,04
Bad Kissingen;Landkreis Bad Kissingen;5,02081E+15;1,00258E+16;;0;very low;C;2099;0,4684;76582,17;163509,55;77,9;0,04
Bad Kissingen;Landkreis Bad Kissingen;5,02158E+15;1,01039E+16;;0;very low;C;2099;0,1258;90903,64;722797,6;344,35;0,04
Bad Kissingen;Landkreis Bad Kissingen;5,01843E+15;1,01295E+15;;0;very low;C;2099;0,7213;154704,66;214477,82;102,18;0,04
Bad Kissingen;Landkreis Bad Kissingen;5,01941E+16;1,00471E+16;;0;very low;E;2099;0,5134;72391,31;140993,69;67,17;0,04
Bad Kissingen;Landkreis Bad Kissingen;5,02277E+15;9,97242E+15;;0;very low;D;2099;0,6689;107680,52;160973,11;76,69;0,04
Iffeldorf;Landkreis Weilheim-Schongau;4,77998E+15;1,13107E+16;;0;very low;H;5361;0,5568;179087,2;321660;60;0,04
Seeshaupt;Landkreis Weilheim-Schongau;4,78364E+16;1,12619E+16;;0;very low;D;5361;0,4023;131287,94;326303,4;60,87;0,04
Huglfing;Landkreis Weilheim-Schongau;4,77915E+15;1,11428E+16;;0;very low;E;5361;0,4922;158306,92;321660;60;0,04
Oberhausen;Landkreis Weilheim-Schongau;4,77336E+15;1,10852E+15;;0;very low;C;5361;0,3517;113125,26;321660;60;0,04
Hohenpeißenberg;Landkreis Weilheim-Schongau;4,78079E+15;1,10215E+15;;0;very low;B;5361;0,1347;153205,93;1137158,16;212,12;0,04
Raisting;Landkreis Weilheim-Schongau;4,78944E+15;1,11321E+16;HQ 80;0,0125;medium;A+;5361;0,3122;100436,44;321660;60;0,19
Peißenberg;Landkreis Weilheim-Schongau;4,78319E+15;1,105E+16;;0;very low;A;5361;0,7053;226872,98;321660;60;0,04
Peißenberg;Landkreis Weilheim-Schongau;4,77574E+15;1,10354E+16;;0;very low;E;5361;0,6224;200197,03;321660;60;0,04
Peißenberg;Landkreis Weilheim-Schongau;4,7824E+15;1,10655E+16;;0;very low;H;5361;0,2591;132347,01;510815,46;95,28;0,04
Polling;Landkreis Weilheim-Schongau;4,7813E+15;1,11388E+16;;0;very low;D;5361;0,4892;157357,6;321660;60;0,04
Penzberg;Landkreis Weilheim-Schongau;4,77878E+14;1,13864E+16;;0;very low;F;5361;0,5119;164648,62;321660;60;0,04
Penzberg;Landkreis Weilheim-Schongau;4,77923E+15;1,13778E+16;;0;very low;G;5361;0,3437;169313,21;492653,52;91,9;0,04
Penzberg;Landkreis Weilheim-Schongau;4,77565E+15;1,14083E+16;;0;very low;G;5361;0,4771;153463,57;321660;60;0,04
Penzberg;Landkreis Weilheim-Schongau;4,77541E+15;1,13762E+16;;0;very low;H;5361;0,4216;135617,66;321660;60;0,04
Wielenbach;Landkreis Weilheim-Schongau;4,78697E+15;1,1184E+16;;0;very low;C;5361;0,5443;175077,62;321660;60;0,04
Pähl;Landkreis Weilheim-Schongau;4,79051E+15;1,11507E+16;;0;very low;E;5361;0,7297;234706,55;321660;60;0,04
Wessobrunn;Landkreis Weilheim-Schongau;4,78591E+15;1,10061E+16;;0;very low;E;5361;0,658;211642,31;321660;60;0,04
Weilheim in Oberbayern;Landkreis Weilheim-Schongau;4,78668E+15;1,10877E+15;;0;very low;F;5361;0,6141;203303,83;331039,61;61,75;0,04
Weilheim in Oberbayern;Landkreis Weilheim-Schongau;4,78558E+15;1,1111E+16;;0;very low;C;5361;0,5346;171945,09;321660;60;0,04
Weilheim in Oberbayern;Landkreis Weilheim-Schongau;4,78368E+16;1,11547E+15;;0;very low;G;5361;0,5602;188361,53;336245,4;62,72;0,04
Weilheim in Oberbayern;Landkreis Weilheim-Schongau;4,78538E+15;1,11555E+16;;0;very low;E;5361;0,4157;170117,92;409257,25;76,34;0,04
Weilheim in Oberbayern;Landkreis Weilheim-Schongau;4,78597E+15;1,11281E+15;;0;very low;D;5361;0,1309;121643,89;929577,84;173,4;0,04
Weilheim in Oberbayern;Landkreis Weilheim-Schongau;4,78503E+15;1,10746E+16;;0;very low;B;5361;0,1181;146142,13;1237637,71;230,86;0,04
Nürnberg;;4,94063E+15;1,12046E+15;;0;very low;H;4798;0,7292;209913,01;287880;60;0,04
Nürnberg;;4,9435E+15;1,12224E+14;;0;very low;A+;4798;0,4855;139765,63;287880;60;0,04
Nürnberg;;4,94017E+15;1,1207E+15;;0;very low;F;4798;0,6814;196162,9;287880;60;0,04
Nürnberg;;4,94367E+15;1,12596E+16;;0;very low;F;4798;0,6025;173451,88;287880;60;0,04
Hallerndorf;Landkreis Forchheim;4,97429E+14;1,09994E+15;;0;very low;F;3289;0,5075;100142,49;197340;60;0,04
Pegnitz;Landkreis Bayreuth;4,97597E+15;1,14787E+16;;0;very low;C;2260;0,3238;99582,61;307555,51;136,09;0,04
Pegnitz;Landkreis Bayreuth;4,97266E+14;1,14464E+16;;0;very low;F;2260;0,4761;107833,34;226472,87;100,21;0,04
Pegnitz;Landkreis Bayreuth;4,979E+15;1,15939E+16;;0;very low;D;2260;0,6813;92384,05;135600;60;0,04
Pegnitz;Landkreis Bayreuth;4,96558E+15;1,15081E+16;;0;very low;D;2260;0,0903;102246,28;1132778,08;501,23;0,04
Gößweinstein;Landkreis Forchheim;4,97908E+15;1,13219E+16;;0;very low;E;3289;0,5541;234414,42;423025,8;128,62;0,04
Wiesenttal;Landkreis Forchheim;4,98097E+16;1,12937E+16;;0;very low;A;3289;0,662;130633,03;197340;60;0,04
Pommelsbrunn;Landkreis Nürnberger Land;4,94671E+16;1,1589E+16;;0;very low;C;3585;0,501;128390,92;256272,62;71,48;0,04
